Chapter, Chapter Description,2011,2012,2013(Jan-Mar),Group
1,Live animals.,37852943,53116216,10267348,Live animals and animal products
2,Meat and edible meat offal.,250218855,182531000,44804168.58,Live animals and animal products
3,"Fish and crustaceans, mollusc and other aquatic invertebrates",21965729962,23992267494,7180158247,Live animals and animal products
4,"Dairy produce; bird's eggs; natural honey; edible products of animal origin, not elsewhere specified or included",259866140,258169916,90237042.58,Live animals and animal products
5,"Products of animal origin, not elsewhere specified or included",282111930,214916279,44152701,Live animals and animal products
6,"Live trees and other plants, bulbs, roots, and the like; cut flowers and ornamental foliage",1570421754,1235109650,455098977.8,Plant-based products
7,Edible vegetables and certain root and tubers,2706431197,3857078499,565349475.8,Plant-based products
8,Edible fruits and nuts; peel of citrus fruit or melon,17179752441,12324776756,2244669190,Plant-based products
9,"Coffee, tea, mate and spices",1.87521E+11,4.69739E+11,48018966421,Plant-based products
10,Cereals,1797650826,1960026380,401503751,Plant-based products
11,Products of the milling industry; malt; starches; inulin; wheat gluten,15659774335,11452658741,1458241555,Plant-based products
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",730224599,810641651,130598718,Plant-based products
13,"Lac; gums, resins and other vegetable saps and extracts",358106145,189436496,27475942,Plant-based products
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1636592333,1674006871,551056305,Plant-based products
15,"Animal or vegetable fats and oils and their cleavage products; prepared edible fats, animal or vegetable waxes.",1495019905,2118762812,463160816,Live animals and animal products
16,"Preparations of meats, of fish or of crustaceans, mollusc or other aquatic invertebrates",525589159,378724967,155173134,Food and beverages
17,Sugar and sugar confectionery,148370419,164851693.3,54164637,Food and beverages
18,Cocoa and cocoa preparations,2685015776,2139706206,124111000,Food and beverages
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",2119018750,2535599605,533653150,Food and beverages
20,"Preparation of vegetables, fruit, nuts or other parts of plants",5956961514,6439004306,1518466210,Plant-based products
21,Miscellaneous edible preparations,8381271487,7251083665,1005552861,Plant-based products
22,"Beverages, spirits and vinegar",772648194,758304838,177952366,Food and beverages
23,Residues and waste from the food industries; prepared animal fodder.,7515024094,10995738480,1843655718,Food and beverages
24,Others and manufactured Others substitutes,8827540462,11086451238,3352366494,Others
25,"Salt, sulphur; earths and stone; plastering materials, lirne and cement",1928990274,1893146805,428211743,Food and beverages
26,"Ores, slag and ash",1711848971,3436568742,69059665,Food and beverages
27,"Mineral Otherss, mineral oils and products of their distillation; bituminous substances; mineral waxes",5065038868,818445671,97381070,Others
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare earth metals, of radioactive elements or isotopes",1494621824,1553950249,332187966,Others
29,Organic chemicals,204528346,153683988,6993737,Others
30,Pharmaceutical products,543040466,472567072.3,126198152,Others
31,Fertilisers,61679427,87909513,15766760,Others
32,Tanning or dyeing extracts; tannin and their derivatives; dyes pigments and other colouring matter; paints and varnishes; putty and other mastic; inks,432767810,307106382.8,116031234,Others
33,"Essential oils and resinoid; perfumery, cosmetic or toilet preparations",3107573635,3048803540,687387016,Food and beverages
34,"Soap, organic surface active agents, washing and lubricating prep., artificial or prepared waxes, polishing or scouring prep., candles and similar, modelling pastes, dental waxes and prep. with basis of plaster",557677449,447506248,131823399,Food and beverages
35,Albuminoidal substances; modified starches; glues; enzymes,504105558,583051988,160493991,Food and beverages
36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,2741892,5494494,629964,Food and beverages
37,Photographic and cinematographic goods,7051964,20212279,1033769,Others
38,Miscellaneous chemical products,8751972561,10363015865,2266254457,Others
39,Plastics and articles thereof,7397291096,7569922455,1803256088,Others
40,Rubber and articles thereof,1.20779E+11,1.22496E+11,33174580850,Miscellaneous products
41,Raw hides and skins (other then furskins) and leather,97872910,57879898,13161118,Miscellaneous products
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worn gut)",2164053471,2301090773,457065145,Miscellaneous products
43,Furskins and artificial fur; manufactures thereof,66759,13000,17230,Miscellaneous products
44,Wood and articles of wood; wood charcoal,5593717201,6683673711,1480208449,Miscellaneous products
45,Cork and articles of cork,205591,120046,3560727533,Miscellaneous products
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",112193318,195001982,95663416,Miscellaneous products
47,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard,3249882631,3037035396,727118336,Miscellaneous products
48,"Paper or paperboard; articles of paper pulp, of paper or paperboard",3512412293,4176188827,1223245047,Miscellaneous products
49,"Printed books, newspapers, pictures ",26190304064,70316572758,22482162481,Miscellaneous products
50,Silk,38302168,22253025,30246,Miscellaneous products
51,"Wool, fine and coarse animal hair, horsehair yarn and woven fabric",6499127,97544515,651401,Miscellaneous products
52,Cotton,3696197492,4751040336,1262702536,Miscellaneous products
53,Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,13299014866,14314427816,2960772445,Miscellaneous products
54,Man-made filaments,772169561,1026949537,194444110.9,Textiles and clothing
55,Man-made staple fibres,3585331823,3958742073,1134660231,Textiles and clothing
56,"Wadding felts and non wovens; special yarn; twine, cordage, ropes and cables and articles thereof",2737775670,3154856813,684859960,Textiles and clothing
57,Carpets and other textile floor covering,732297421,666931137,145157648,Textiles and clothing
58,Special woven fabrics; tufted textile fabrics; lace; tapestries;trimmings; embroidery,3652824956,3569629919,980668229,Textiles and clothing
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",773977262,1139873483,365111696,Textiles and clothing
60,Knitted or crocheted fabrics,3956818755,3876496441,900029955,Textiles and clothing
61,apparel knitted ,2.329E+11,2.51543E+11,63612138284,Textiles and clothing
62,apparel  not knitted or crocheted,2.0687E+11,2.13659E+11,55628200700,Textiles and clothing
63,Other made up textile articles; sets; worn clothing and worn textile articles;rags,5891267900,5908128189,1478912713,Textiles and clothing
64,"Footwear, gaiters and the like; parts of such articles",1859066569,1609789037,627297834,Others
65,Headgear and parts thereof,3058606594,2857748290,513023942.7,Others
66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops and parts thereof",151238357,128054399,22037614,Others
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair,375111031,340572355.8,86038928.05,Others
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",2488568520,2899153597,812102110,Others
69,Ceramic products,4260540761,4391521272,1031711189,Others
70,Glass and glassware,1845558263,1819402585,999554417,Others
71,Natural or cultured pearls,54345041842,47917672336,28806906745,Others
72,Iron and steel,378609028,464282606.5,65455208,Others
73,Articles of iron or steel,1223406333,1098205394,174969411,Others
74,Copper and articles thereof,2265112755,2015137682,483471853,Others
75,Nickel and articles thereof,47165491,13012,1914,Others
76,Aluminium and articles thereof,276595800,483395704,56846188,Others
78,Lead and articles thereof,549226232,1011005360,469344734,Others
79,Zinc and articles thereof,3076,31813,7177445,Others
80,Tin and articles thereof,26279,68514,3560727533,Others
81,Other base metals; cements; articles thereof,1021131,30598,99635,Others
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",1320981247,1627460937,614939602,Others
83,Miscellaneous articles of base metal,616627091,745809512,135302774,Others
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",13242428622,14812096041,4167490583,Machinery and equipment
85,Electrical machinery and equipment ,25906042324,25848179980,5953656593,Machinery and equipment
86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (incl. electro-mechanical) traffic signalling equipment of all kinds",15150514,4389989509,47655532,Machinery and equipment
87,"Vehicles others than railway or tramway rolling-stock, and parts and accessories thereof",8317427902,8035990602,1525662990,Machinery and equipment
88,"Aircraft, spacecraft and parts thereof",1484774773,1105353863,176490931,Machinery and equipment
89,"Ships, boats and floating structures",17831237374,10483630392,13756591316,Machinery and equipment
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",4680619425,4820613700,1278101050,Machinery and equipment
91,Clocks and watches and parts thereof,135749640,49361533,16786690,Machinery and equipment
92,Musical instruments; parts and accessories of such articles,20386221,26317709,3100548,Machinery and equipment
93,Arms and ammunition; parts and accessories thereof,668186,52175,3560727533,Machinery and equipment
94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishing; lamps and lighting fittings, NES or incl.; illuminated signs or name-plates and the like; prefabricated buildings",3319916905,3380085190,834823430,Others
95,"Toys, games and sports requisites; parts and accessories thereof",5507208303,6935118562,1761707094,Miscellaneous products
96,Miscellaneous manufactured articles,3994110545,3957857219,1023856352,Miscellaneous products
97,"Works of art, collectors' pieces and antiques",8214475,73029618,348429,Miscellaneous products
99,List of commodities and transactions not classified according to kind in appendix to chapters 1 to 97,6479227,15342216977,3560727533,Others
